cl hl sl el mrsc
aBiBUwa_3 aBiBUwa_3 - overawed_1 _overawed/VBN_u_unknown
aBicAra_1 aBicAra_1 aBicAra_2 incantation_1 _incantation/NN_u_unknown
aBicAra_2 aBicAra_2 aBicAra_1 sorcery_1 _sorcery_n_1
aBicAraraka_1 aBicAraraka_1 - conjurer_3 _conjurer/NN_u_unknown
aBicArarakriyA_1 aBicArarakriyA_1 - witchcraft_1 _witchcraft_n_1
aBicArarakriyA_2 aBicArarakriyA_2 - sorcery_2 _sorcery_n_1
aBicArI_1 aBicArI_1 - incantational_1 _incantational/NN_u_unknown
aBicArI_2 aBicArI_2 - incantatory_1 _incantatory/NN_u_unknown
aBigrahaNa_1 aBigrahaNa_1 - requisition_1 _requisition/NN_u_unknown
aBihiwa_1 aBihiwa_1 - named_1 _name_v_1
aBihiwa_2 aBihiwa_2 - designated_1 _designate_v_1
aBihiwa_3 aBihiwa_3 - called_1 _call_v_1
aBijAwa_1 aBijAwa_1 - aristocratic_1 _aristocratic_a_1
aBijAwavarga_1 aBijAwavarga_1 - aristocracy_4 _aristocracy/NN_u_unknown
aBijAwa+varga_1 aBijAwa+varga_1 - elite_1 _elite_n_1
aBijAwavarga_2 aBijAwavarga_2 - nobility_6 _nobility/NN_u_unknown
aBijAwavAxa_1 aBijAwavAxa_1 - classicism_2 _classicism_n_1
aBijAwavAxa_2 aBijAwavAxa_2 - aristocracy_3 _aristocracy/NN_u_unknown
aBijAwavAxI_1 aBijAwavAxI_1 - classicist_1 _classicist/NN_u_unknown
aBijAwawaMwra_1 aBijAwawaMwra_1 - aristocracy_2 _aristocracy/NN_u_unknown
ABijAwya_1 ABijAwya_1 - aristocracy_1 _aristocracy/NN_u_unknown
aBijAwya_1 aBijAwya_1 - aristocratic_2 _aristocratic_a_1
aBijAwya_2 aBijAwya_2 - classic_1 _classic_a_1
ABijAwya_2 ABijAwya_2 - classicism_1 _classicism_n_1
aBijFAna_1 aBijFAna_1 aBijFAna_1 recognition_1 _recognition_n_1
aBijFAna_2 aBijFAna_2 - recollection_1 _recollection_n_1
aBijFAna_3 aBijFAna_3 - identification_1 _identification_n_of
aBijFAna_4 aBijFAna_4 - anagnorisis_1 _anagnorisis/NN_u_unknown
aBijFawA_1 aBijFawA_1 aBijFawA_1 conversance_2 _conversance/NN_u_unknown
aBijFAwa_1 aBijFAwa_1 - recognised_1 _recognize_v_1
aBijFawA_2 aBijFawA_2 - familiarity_3 _familiarity_n_1
aBikalpa_1 aBikalpa_1 - design_1 _design_n_of
aBikarwA_1 aBikarwA_1 - agent_1 _agent_n_of
aBikaWana_1 aBikaWana_1 - allegation_1 _allegation_n_1
aBikriyAriyA_1 aBikriyAriyA_1 - reaction_1 _reaction_n_1
aBilakRaNa_1 aBilakRaNa_1 - characteristic_1 _characteristic_n_1
aBilamba_1 aBilamba_1 - perpendicular_3 _perpendicular_a_1
aBilARA_1 aBilARA_1 - desire_1 _desire_n_for
aBilARA_2 aBilARA_2 - yearning_1 _yearning_n_1
aBilARA_3 aBilARA_3 - longing_1 _longing_n_1
aBilARA_4 aBilARA_4 - craving_1 _craving_n_for
aBilARA_5 aBilARA_5 - wish_1 _wish_n_1
aBilARARI_1 aBilARARI_1 - wishing_1 _wish_v_1
aBilARARI_2 aBilARARI_2 - desiring_1 _desire_v_1
aBilARI_1 aBilARI_1 - wishful_1 _wishful_a_1
aBilaRiwa_1 aBilaRiwa_1 - cherished_1 _cherish_v_1
aBilaRiwa_2 aBilaRiwa_2 - desired_2 _desire_v_1
aBileKa_1 aBileKa_1 - record_1 _record_n_of
aBileKa_2 aBileKa_2 - transcript_1 _transcript_n_of
aBileKana+kara_1 aBileKana+kara_1 - tape_3 _tape_v_1
aBiliKiwa_1 aBiliKiwa_1 - recorded_1 _record_v_1
aBimAna_1 aBimAna_1 aBimAna_1 pride_1 _pride_n_1
aBimAna_2 aBimAna_2 aBimAna_2 vanity_1 _vanity_n_1
aBimAna_3 aBimAna_3 aBimAna_1 arrogance_1 _arrogance_n_1
aBimAnI_1 aBimAnI_1 aBimAnI_1 proud_1 _proud_a_of
aBimAnI_2 aBimAnI_2 - vainglorious_1 _vainglorious/JJ_u_unknown
aBimAnI_3 aBimAnI_3 - arrogant_1 _arrogant_a_1
aBimawa_1 aBimawa_1 - favourite_1 _favorite_a_1
aBimawa_2 aBimawa_2 - desired_1 _desire_v_1
aBimaXya_1 aBimaXya_1 - medial_1 _medial_a_1
aBimuKa_1 aBimuKa_1 - facing_2 _face_v_1
aBinaMxana_1 aBinaMxana_1 - greeting_1 _greeting_n_1
aBinaMxana_2 aBinaMxana_2 - reception_2 _reception_n_of
aBinaMxana_3 aBinaMxana_3 - applause_1 _applause_n_1
aBinaMxana_4 aBinaMxana_4 - felicitations_3 _felicitations/NN_u_unknown
aBinaMxanaxana-samAroha_1 aBinaMxanaxana-samAroha_1 - reception_4 _reception_n_of
aBinaMxanaxanIya_1 aBinaMxanaxanIya_1 - laudable_1 _laudable/NN_u_unknown
aBinaMxanaxanIya_2 aBinaMxanaxanIya_2 - praiseworthy_1 _praiseworthy/NN_u_unknown
aBinava_1 aBinava_1 aBinava_1 novel_3 _novel_a_1
aBinava_2 aBinava_2 aBinava_2 new_1 _new_a_1
aBinava_3 aBinava_3 aBinava_3 recent_1 _recent_a_1
aBinawi_1 aBinawi_1 - bias_1 _bias_n_1
aBinawi_2 aBinawi_2 - inclination_1 _inclination_n_1
aBinaya_1 aBinaya_1 - acting_1 _act_v_1
aBinaya+kara_1 aBinaya+kara_1 nat_1 act_5 _act_v_1
aBinaya+kara_2 aBinaya+kara_2 Agam_2 come_7 _come_v_1
aBinaya+kara_3 aBinaya+kara_3 AliK_1 portray_1 _portray_v_1
aBinewA_1 aBinewA_1 aBinewA_1 actor_1 _actor_n_1
aBinewrI_1 aBinewrI_1 - actress_2 _actress_n_1
aBineya_1 aBineya_1 - actable_1 _actable/JJ_u_unknown
aBineya_2 aBineya_2 - stageable_1 _stageable/JJ_u_unknown
